figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,167.4217,mbar,3.1004,mmol/g,square,solid,#040404,false,medium,341.33,322.9,assigned_by=joint_assignment; source=auto,pt-f35b6763f25a9cb5,src-9c7c608822476280,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,176.6743,mbar,2.8147,mmol/g,square,solid,#040404,false,high,347.99,358.4,assigned_by=joint_assignment; source=auto,pt-1f83ab999a446a34,src-af5172e3cef15984,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,179.4496,mbar,3.1799,mmol/g,square,solid,#040404,false,low,349.99,313.01,assigned_by=joint_assignment; source=auto,pt-11121b646218b0cb,src-fc894c1d23980d81,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,219.7492,mbar,3.3249,mmol/g,square,solid,#040404,false,medium,379.0,295.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-f1ac9573b0f73a40,src-8cc50c04b1bb4dff,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,222.5276,mbar,3.856,mmol/g,square,solid,#040404,false,medium,381.0,229.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-06f7c1a49c55b8e5,src-bcc090e7baf87e88,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,253.0906,mbar,3.9647,mmol/g,square,solid,#040404,false,high,403.0,215.5,assigned_by=joint_assignment; source=auto,pt-54feeec55e0d07d5,src-345f9f942e633a97,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,289.9051,mbar,4.0653,mmol/g,square,solid,#040404,false,high,429.5,203.0,assigned_by=joint_assignment; source=auto,pt-c32f4cf694b489c6,src-87910cf074dc971d,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,326.175,mbar,4.184,mmol/g,square,solid,#040404,false,high,455.61,188.25,assigned_by=joint_assignment; source=auto,pt-b655d1d852373c18,src-2db92c2663819ce5,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,361.5106,mbar,4.2504,mmol/g,square,solid,#040404,false,high,481.04,179.99,assigned_by=joint_assignment; source=auto,pt-10877756add90185,src-4a27470545f1033f,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,396.8754,mbar,4.3389,mmol/g,square,solid,#040404,false,high,506.5,169.0,assigned_by=joint_assignment; source=auto,pt-2787e5f1ca7d5a79,src-0148c6ad4f83c9d5,CO2,true,Legend group heading 'CO2 @' binds the temperature row '273K'.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
