figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y,status
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,267.6115,mbar,2.2226,mmol/g,circle,solid,#eb2125,false,high,292.41,230.09,assigned_by=color; source=auto,pt-e8b19f65894df2cf,src-766cac82e132774b,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,331.6989,mbar,2.3035,mmol/g,circle,solid,#eb2125,false,high,320.24,217.9,assigned_by=color; source=auto,pt-0388c9352d59a87d,src-c00c4807b61191a3,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,399.8853,mbar,2.3819,mmol/g,circle,solid,#eb2125,false,high,349.85,206.08,assigned_by=color; source=auto,pt-81c50fd0c8a42c98,src-c791ee70d9ffbf4e,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,466.5978,mbar,2.4462,mmol/g,circle,solid,#eb2125,false,high,378.82,196.4,assigned_by=color; source=auto,pt-adbc7736931c6649,src-420d03b9c34ebd3f,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,533.6559,mbar,2.5087,mmol/g,circle,solid,#eb2125,false,high,407.94,186.97,assigned_by=color; source=auto,pt-3f6a503e6458b820,src-642ee54941eb29e7,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,600.4836,mbar,2.5643,mmol/g,circle,solid,#eb2125,false,high,436.96,178.59,assigned_by=color; source=auto,pt-2bdf42b551a5b6ec,src-f7d7462f7c10ab58,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,666.6435,mbar,2.618,mmol/g,circle,solid,#eb2125,false,high,465.69,170.5,assigned_by=color; source=auto,pt-c1a4013b0a9fff39,src-5dcc1c2e768365d8,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,733.5633,mbar,2.6708,mmol/g,circle,solid,#eb2125,false,high,494.75,162.55,assigned_by=color; source=auto,pt-e0258771cde4a569,src-2e9c84c375c34b12,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,799.7693,mbar,2.7171,mmol/g,circle,solid,#eb2125,false,high,523.5,155.56,assigned_by=color; source=auto,pt-1f7c86322399a4c1,src-f47110472cf0ba69,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,865.9292,mbar,2.7608,mmol/g,circle,solid,#eb2125,false,high,552.23,148.98,assigned_by=color; source=auto,pt-ddb8455faf3d6b8b,src-7131a396a6a3e879,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,934.3459,mbar,2.8073,mmol/g,circle,solid,#eb2125,false,high,581.94,141.97,assigned_by=color; source=auto,pt-91a138bfe8fbe8fa,src-f20df5b54f6b9ded,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,1013.0792,mbar,2.8605,mmol/g,circle,solid,#eb2125,false,high,616.13,133.95,assigned_by=color; source=auto,pt-88c408e76c678495,src-15c273b72a4d71cb,CO2,true,Legend is headed 'CO2' and its red-circle entry is labeled '303K'.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
