figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,26.7607,mbar,2.2226,mmol/g,circle,none,#f21f22,false,high,292.41,236.09,assigned_by=color; source=auto,pt-faabd674e9d72431,src-ac5b1ec69931a622,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,33.1334,mbar,2.3019,mmol/g,circle,none,#f21f22,false,high,320.08,224.14,assigned_by=color; source=auto,pt-9259f687ccd4372c,src-90a8a80c0fc52930,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,39.933,mbar,2.3817,mmol/g,circle,none,#f21f22,false,high,349.61,212.11,assigned_by=color; source=auto,pt-a1fcc4d69d6692d0,src-d9d628fb48762471,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,46.7251,mbar,2.4462,mmol/g,circle,none,#f21f22,false,high,379.1,202.4,assigned_by=color; source=auto,pt-264a02b7464ee224,src-c3a29933f24fc351,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,53.3794,mbar,2.507,mmol/g,circle,none,#f21f22,false,high,408.0,193.23,assigned_by=color; source=auto,pt-1e23b029a52e921d,src-5dc3bc6213e24db2,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,59.9962,mbar,2.5644,mmol/g,circle,none,#f21f22,false,high,436.73,184.57,assigned_by=color; source=auto,pt-b12af9a47a5ecfc8,src-929d03c76dbc3332,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,66.6649,mbar,2.618,mmol/g,circle,none,#f21f22,false,high,465.69,176.5,assigned_by=color; source=auto,pt-6c89b6c88d6269e8,src-1d0f9a577556a9d9,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,73.4277,mbar,2.6693,mmol/g,circle,none,#f21f22,false,high,495.06,168.78,assigned_by=color; source=auto,pt-d6deb74c24bf2b74,src-eff3f5e1e4295b49,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,80.0212,mbar,2.7175,mmol/g,circle,none,#f21f22,false,high,523.69,161.5,assigned_by=color; source=auto,pt-004da33d06893014,src-7bcac610f035d394,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,86.6069,mbar,2.7626,mmol/g,circle,none,#f21f22,false,high,552.29,154.71,assigned_by=color; source=auto,pt-3443797cf9313dda,src-44889caa273b499c,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
figp1b,b,figp1b:b:co2-303k-bc2a4dd1,CO2 303K,93.3732,mbar,2.8048,mmol/g,circle,none,#f21f22,false,high,581.67,148.35,assigned_by=color; source=auto,pt-b284291bccea43b6,src-f2c1e99290605131,CO2,true,Legend heading 'CO2' binds the legend entry '303K' to CO2.,co2_loading,per gram of adsorbent,visible_marker,,,,,,,
