figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y,status
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,14.1438,mbar,1.5222,mmol/g,square,solid,#030303,false,medium,231.0,519.0,assigned_by=joint_assignment; source=auto,pt-7afedd3d0d372a83,src-089ed3f2ccf416f9,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,219.0546,mbar,3.8359,mmol/g,square,solid,#030303,false,high,378.5,231.5,assigned_by=joint_assignment; source=auto,pt-80c3be9fdb0067bf,src-04f9240c24ca16b7,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,252.6738,mbar,3.9649,mmol/g,square,solid,#030303,false,high,402.7,215.47,assigned_by=joint_assignment; source=auto,pt-602fd225818a8c40,src-ceae880287ca0fc9,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,290.044,mbar,4.0622,mmol/g,square,solid,#030303,false,high,429.6,203.39,assigned_by=joint_assignment; source=auto,pt-436b7eb02c6d9f34,src-8fcd2803bf6beb69,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,326.4,mbar,4.1817,mmol/g,square,solid,#030303,false,high,455.77,188.53,assigned_by=joint_assignment; source=auto,pt-8145db2166eb3844,src-0f702dae0a3e3edb,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,361.1445,mbar,4.2493,mmol/g,square,solid,#030303,false,high,480.78,180.14,assigned_by=joint_assignment; source=auto,pt-9d3808902aa3ee7f,src-28ad8a42948415dd,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,396.9727,mbar,4.3401,mmol/g,square,solid,#030303,false,high,506.57,168.85,assigned_by=joint_assignment; source=auto,pt-1f24c120899110bd,src-90d15b333c4622e0,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,432.4535,mbar,4.4117,mmol/g,square,solid,#030303,false,high,532.11,159.95,assigned_by=joint_assignment; source=auto,pt-920de62b006d10f2,src-2a4b7ed096d1cd79,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,468.6706,mbar,4.466,mmol/g,square,solid,#030303,false,high,558.18,153.21,assigned_by=joint_assignment; source=auto,pt-50e585797c1f0483,src-fb4e972fe7ace1cd,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,503.8458,mbar,4.516,mmol/g,square,solid,#030303,false,high,583.5,147.0,assigned_by=joint_assignment; source=auto,pt-b47eb3eecc9d91dc,src-da771b5da58f25c4,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,539.9517,mbar,4.584,mmol/g,square,solid,#030303,false,high,609.49,138.55,assigned_by=joint_assignment; source=auto,pt-aaac6038269778a4,src-28f4d021a2c169fd,CO2,true,Legend heading 'CO2 @' binds the row '273K' to CO2.,co2_loading,per gram of sorbent,visible_marker,,,,,,,,review
