figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,35.752,mbar,1.49,mmol/g,square,solid,#030303,false,medium,240.0,523.0,assigned_by=joint_assignment; source=auto,pt-89d3cc72d1e0c472,src-4597455322c5931f,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,49.4044,mbar,1.5549,mmol/g,square,solid,#030303,false,medium,249.82,514.94,assigned_by=joint_assignment; source=auto,pt-8b169fc53d17fb93,src-fbc5e965cfa79b4a,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,64.6833,mbar,1.7423,mmol/g,square,solid,#030303,false,high,260.81,491.65,assigned_by=joint_assignment; source=auto,pt-e0612fb750ef3c67,src-6f3be367ecee2e1a,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,79.4896,mbar,1.9072,mmol/g,square,solid,#030303,false,high,271.46,471.16,assigned_by=joint_assignment; source=auto,pt-0d4208a6f2094b71,src-c229e845a4904a9e,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,103.8748,mbar,2.1982,mmol/g,square,solid,#030303,false,medium,289.0,435.0,assigned_by=joint_assignment; source=auto,pt-5dabe70145d6f982,src-05cd61ed7ec4e994,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,104.3614,mbar,2.1572,mmol/g,square,solid,#030303,false,medium,289.35,440.09,assigned_by=joint_assignment; source=auto,pt-5edb44368afb8aa5,src-1bf2831c05a09220,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,105.6266,mbar,2.3126,mmol/g,square,solid,#030303,false,high,290.26,420.78,assigned_by=joint_assignment; source=auto,pt-a1a7793d84272209,src-8d981a324bc3e118,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,165.672,mbar,3.0946,mmol/g,square,solid,#030303,false,low,333.45,323.61,assigned_by=joint_assignment; source=auto,pt-08775b0c1ef6481c,src-63948c41244a2b28,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,175.3622,mbar,2.8387,mmol/g,square,solid,#030303,false,high,340.42,355.41,assigned_by=joint_assignment; source=auto,pt-68f940c3344e719d,src-d04c95ee4e133541,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,178.9907,mbar,3.1811,mmol/g,square,solid,#030303,false,low,343.03,312.87,assigned_by=joint_assignment; source=auto,pt-6f9b1d8c7265cd41,src-d354df4bc147db7a,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,203.4037,mbar,3.4835,mmol/g,square,solid,#030303,true,low,360.59,275.29,overlap_flag=true; assigned_by=template; source=template_fill,pt-6f23128ba76cf1f1,src-c0e3ad6f867d599c,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,template_fill,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,218.7522,mbar,3.8363,mmol/g,square,solid,#030303,false,high,371.63,231.45,assigned_by=joint_assignment; source=auto,pt-5d59dc46b8d7e61d,src-1b9129593bb3658a,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,252.2159,mbar,3.9649,mmol/g,square,solid,#030303,false,high,395.7,215.47,assigned_by=joint_assignment; source=auto,pt-a702fcf410824c94,src-e41c77ec1628c082,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,289.6139,mbar,4.0622,mmol/g,square,solid,#030303,false,high,422.6,203.39,assigned_by=joint_assignment; source=auto,pt-edce563dc2defb76,src-38b9f82896cce1f6,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,325.9971,mbar,4.1817,mmol/g,square,solid,#030303,false,high,448.77,188.53,assigned_by=joint_assignment; source=auto,pt-9d7a62213f7a7d22,src-71f19d762e020e1d,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,360.7676,mbar,4.2493,mmol/g,square,solid,#030303,false,high,473.78,180.14,assigned_by=joint_assignment; source=auto,pt-33ca8b84412110c0,src-cf83c136b1256c5e,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,396.6225,mbar,4.3401,mmol/g,square,solid,#030303,false,high,499.57,168.85,assigned_by=joint_assignment; source=auto,pt-538e2faa2e0dd71e,src-a4be9aaf2ba6ddc0,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,432.1298,mbar,4.4117,mmol/g,square,solid,#030303,false,high,525.11,159.95,assigned_by=joint_assignment; source=auto,pt-8e02a29c585b5fe0,src-c9cd4d469dadc6ee,CO2,true,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,,
