figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,85.8014,mbar,3.1639,mmol/g,square,solid,#030303,False,medium,276.0000,315.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=#080808 square glyph fragment/overlap visible on the CO2 273K curve at native panel coordinates (276.0,315.0); uncertainty_px=4.0",pt-a04-012134c912d649ef,src-a04-012134c912d649ef,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,5.5611,0.0322
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,99.7041,mbar,3.2605,mmol/g,square,solid,#030303,False,medium,286.0000,303.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=#080808 square glyph fragment/overlap visible on the CO2 273K curve at native panel coordinates (286.0,303.0); uncertainty_px=4.0",pt-a04-276a6f9627a7de7d,src-a04-276a6f9627a7de7d,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,5.5611,0.0322
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,116.3872,mbar,3.3571,mmol/g,square,solid,#030303,False,medium,298.0000,291.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=#080808 square glyph fragment/overlap visible on the CO2 273K curve at native panel coordinates (298.0,291.0); uncertainty_px=4.0",pt-a04-3e2365e79eaf12f0,src-a04-3e2365e79eaf12f0,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,5.5611,0.0322
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,146.9730,mbar,3.5100,mmol/g,square,solid,#030303,False,medium,320.0000,272.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=#080808 square glyph fragment/overlap visible on the CO2 273K curve at native panel coordinates (320.0,272.0); uncertainty_px=4.0",pt-a04-39218e45e2b33114,src-a04-39218e45e2b33114,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,5.5611,0.0322
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,178.9490,mbar,3.7031,mmol/g,square,solid,#030303,False,medium,343.0000,248.0000,"evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=#080808 square glyph fragment/overlap visible on the CO2 273K curve at native panel coordinates (343.0,248.0); uncertainty_px=4.0",pt-a04-f3eba1ecae4d9138,src-a04-f3eba1ecae4d9138,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,partially_visible_marker,,,,,,5.5611,0.0322
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,217.8764,mbar,3.8480,mmol/g,square,solid,#030303,False,high,371.0000,230.0000,"evidence_kind=native_visible; evidence_ref=panel.png; source_evidence=#080808 square glyph body visible on the CO2 273K curve at native panel coordinates (371.0,230.0); uncertainty_px=2.0",pt-5d59dc46b8d7e61d,src-1b9129593bb3658a,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,2.7805,0.0161
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,252.2159,mbar,3.9649,mmol/g,square,solid,#030303,False,high,395.7000,215.4700,assigned_by=joint_assignment; source=auto,pt-a702fcf410824c94,src-e41c77ec1628c082,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,2.7805,0.0161
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,289.6139,mbar,4.0622,mmol/g,square,solid,#030303,False,high,422.6000,203.3900,assigned_by=joint_assignment; source=auto,pt-edce563dc2defb76,src-38b9f82896cce1f6,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,2.7805,0.0161
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,325.9971,mbar,4.1817,mmol/g,square,solid,#030303,False,high,448.7700,188.5300,assigned_by=joint_assignment; source=auto,pt-9d7a62213f7a7d22,src-71f19d762e020e1d,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,2.7805,0.0161
figp1a,a,figp1a:a:co2-273k-78e92393,CO2 273K,361.0734,mbar,4.2584,mmol/g,square,solid,#030303,False,high,474.0000,179.0000,"evidence_kind=native_visible; evidence_ref=panel.png; source_evidence=#080808 square glyph body visible on the CO2 273K curve at native panel coordinates (474.0,179.0); uncertainty_px=2.0",pt-33ca8b84412110c0,src-cf83c136b1256c5e,CO2,True,Legend group heading 'CO2 @' binds the 273K entry to CO2.,co2_loading,mmol per gram of sorbent,visible_marker,,,,,,2.7805,0.0161
