figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,13.9304,kPa,2.257,mmol/g,circle,solid,#dc605a,false,medium,228.4,223.25,assigned_by=joint_assignment; source=auto,pt-488ca3e0dc034add,src-2eaf2c0498cfda6e,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,42.8321,kPa,3.3684,mmol/g,circle,solid,#dc605a,false,high,395.41,112.78,assigned_by=joint_assignment; source=auto,pt-06990eb607343d29,src-262511b6a63ad578,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,43.6998,kPa,3.3573,mmol/g,circle,solid,#dc605a,false,medium,400.43,113.89,assigned_by=joint_assignment; source=auto,pt-a0981e41c4c71dc9,src-3e54af46ee52ef0f,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,48.3848,kPa,3.497,mmol/g,circle,solid,#dc605a,false,high,427.5,100.0,assigned_by=joint_assignment; source=auto,pt-61f6d7fa9b29c002,src-a5131ebd53b1c6ba,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,49.0771,kPa,3.485,mmol/g,circle,solid,#dc605a,false,high,431.5,101.19,assigned_by=joint_assignment; source=auto,pt-82e18dce5c739229,src-b2647fe77f10ae1f,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,57.0623,kPa,3.6429,mmol/g,circle,solid,#dc605a,false,high,477.64,85.49,assigned_by=joint_assignment; source=auto,pt-fd7027d0ce1eadc2,src-5abf0bfb2d1f2388,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,59.8928,kPa,3.678,mmol/g,circle,solid,#dc605a,false,medium,494.0,82.0,assigned_by=joint_assignment; source=auto,pt-72e93c4c952c69a8,src-de35b782da4f50d4,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,60.4562,kPa,3.6853,mmol/g,circle,solid,#dc605a,false,high,497.26,81.28,assigned_by=joint_assignment; source=auto,pt-d488871fdee67a72,src-47ff0fc88c2c38ec,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,70.7392,kPa,3.8708,mmol/g,circle,solid,#dc605a,false,medium,556.68,62.84,assigned_by=joint_assignment; source=auto,pt-8449cf82df6a9688,src-1b72bbc3bf113971,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,72.2351,kPa,3.9195,mmol/g,circle,solid,#dc605a,false,high,565.32,58.0,assigned_by=joint_assignment; source=auto,pt-8cb7ab9ea2727b01,src-8d8e276b34c4983a,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,83.9865,kPa,4.0539,mmol/g,circle,solid,#dc605a,false,medium,633.23,44.64,assigned_by=joint_assignment; source=auto,pt-61fbbf0aa4e9f364,src-3ef2970e94e87489,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,105.1262,kPa,4.361,mmol/g,circle,solid,#dc605a,false,high,755.39,14.11,assigned_by=joint_assignment; source=auto,pt-6b85b0384dd741a4,src-5b77993318540162,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-273k-78e92393,CO2 273K,105.3986,kPa,4.3193,mmol/g,circle,solid,#dc605a,false,high,756.96,18.25,assigned_by=joint_assignment; source=auto,pt-691c3f7c1583322f,src-8c0898a4f16a1995,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-298k-438baf4c,CO2 298K,3.252,kPa,0.9274,mmol/g,circle,solid,#e26058,false,low,166.69,355.42,assigned_by=joint_assignment; source=auto,pt-d699aa16e4501fe7,src-89da5b3d2576e977,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-298k-438baf4c,CO2 298K,4.1772,kPa,0.9665,mmol/g,circle,solid,#e26058,false,low,172.04,351.53,assigned_by=joint_assignment; source=auto,pt-210be573b16c5da4,src-c5ba32b401a6653c,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-298k-438baf4c,CO2 298K,7.0922,kPa,1.477,mmol/g,circle,solid,#e26058,false,high,188.89,300.79,assigned_by=joint_assignment; source=auto,pt-e321f5cfdf74e62f,src-d2d0ade5cb5575c4,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-298k-438baf4c,CO2 298K,14.8532,kPa,2.2487,mmol/g,circle,solid,#e26058,false,high,233.73,224.08,assigned_by=joint_assignment; source=auto,pt-f57d901264ce09c6,src-8c075a6ae33acbe1,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-298k-438baf4c,CO2 298K,49.7709,kPa,0.9568,mmol/g,circle,solid,#e26058,false,low,435.51,352.49,assigned_by=joint_assignment; source=auto,pt-c9492596664b3bff,src-f1105f57d1ddbba4,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-298k-438baf4c,CO2 298K,58.7036,kPa,1.108,mmol/g,circle,solid,#e26058,false,high,487.13,337.46,assigned_by=joint_assignment; source=auto,pt-e41054a9df7de5c5,src-77dab042332065dc,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
fig10_11,x,fig10_11:x:co2-298k-438baf4c,CO2 298K,122.5376,kPa,1.8773,mmol/g,circle,solid,#e26058,false,high,856.0,261.0,assigned_by=joint_assignment; source=auto,pt-fb5f71e4519a5fa9,src-cc2a00a72aa88b8e,CO2,true,,CO2 uptake,unknown,visible_marker,,,,,,,
