figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,26.8379,kPa,2.2226,mmol/g,circle,solid,#f21f26,false,high,285.41,180.09,assigned_by=color; source=auto,pt-ae6ad3b4452958ba,src-acb2594dff0ee537,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,33.2061,kPa,2.302,mmol/g,circle,solid,#f21f26,false,high,313.08,168.13,assigned_by=color; source=auto,pt-1839b422d1b4cb9b,src-793a92d28d13e83d,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,40.0001,kPa,2.3799,mmol/g,circle,solid,#f21f26,false,high,342.6,156.38,assigned_by=color; source=auto,pt-1d40028c03b9a502,src-260f8dcba31badb7,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,46.7895,kPa,2.4462,mmol/g,circle,solid,#f21f26,false,high,372.1,146.4,assigned_by=color; source=auto,pt-0cc90347ef132612,src-a2d3ff967bd770fb,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,53.4408,kPa,2.507,mmol/g,circle,solid,#f21f26,false,high,401.0,137.23,assigned_by=color; source=auto,pt-591b06a8b749c90c,src-6a5a67ba2d01a96f,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,60.1312,kPa,2.5657,mmol/g,circle,solid,#f21f26,false,high,430.07,128.39,assigned_by=color; source=auto,pt-5fe2b3e82cbe2a7b,src-e79874951abe4c2e,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,66.718,kPa,2.618,mmol/g,circle,solid,#f21f26,false,high,458.69,120.5,assigned_by=color; source=auto,pt-05e91a15beb96e43,src-60f8ef714d0b85d0,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,73.4775,kPa,2.6692,mmol/g,circle,solid,#f21f26,false,high,488.06,112.78,assigned_by=color; source=auto,pt-a570c440391e3c6d,src-1085daac41513c4a,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,80.0827,kPa,2.7177,mmol/g,circle,solid,#f21f26,false,high,516.76,105.47,assigned_by=color; source=auto,pt-e14ea26ca0cec66a,src-1f25c979583a07db,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,86.5821,kPa,2.7617,mmol/g,circle,solid,#f21f26,false,high,545.0,98.85,assigned_by=color; source=auto,pt-d55e9337dcdcdf69,src-1e8a4057eced3666,CO2,true,Legend heading 'CO2' applies to the temperature entry '303K'; caption identifies panel B as CO2 isotherms.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
