figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.0114,bar,9.3955,cm³·g⁻¹,circle,none,#d36d70,false,high,178.0,464.0,assigned_by=joint_assignment; source=auto,pt-d3aa9649134eab05,src-48f0e270b4b5db11,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.014,bar,9.4279,cm³·g⁻¹,circle,none,#d36d70,false,high,179.53,463.68,assigned_by=joint_assignment; source=auto,pt-8db0c5bd59c373d5,src-40ca0f8cc1033eaf,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.0389,bar,19.4296,cm³·g⁻¹,circle,none,#d36d70,false,high,193.87,364.12,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-a5234671775b845d,src-71bfd5f80ef8740f,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.0693,bar,24.8028,cm³·g⁻¹,circle,none,#d36d70,false,low,211.43,310.63,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-c61fbf16ede25d77,src-5cc4c8d91e01f017,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.0928,bar,28.0807,cm³·g⁻¹,circle,none,#d36d70,false,high,225.0,278.0,assigned_by=joint_assignment; source=auto,pt-1d031cf5be97379a,src-299a1546bb37c7a6,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.0961,bar,28.1447,cm³·g⁻¹,circle,none,#d36d70,false,low,226.86,277.36,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-749a62d21ea0e7ba,src-9d81671908507b7c,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.1119,bar,30.1903,cm³·g⁻¹,circle,none,#d36d70,false,medium,236.0,257.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-f7665efaae6ad085,src-200c94e6e89547f6,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.1139,bar,30.4006,cm³·g⁻¹,circle,none,#d36d70,false,high,237.14,254.91,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-cd9fa911f404b883,src-63d768afaa9fa632,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.1414,bar,32.5134,cm³·g⁻¹,circle,none,#d36d70,false,high,253.03,233.88,assigned_by=joint_assignment; source=auto,pt-27901d24cea8aaec,src-978005a279e06233,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.1494,bar,32.5097,cm³·g⁻¹,circle,none,#d36d70,false,low,257.63,233.91,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-7e57f4a4533a578c,src-31d720f216d70a51,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.1714,bar,34.1665,cm³·g⁻¹,circle,none,#d36d70,false,high,270.36,217.42,assigned_by=joint_assignment; source=auto,pt-70a4fbaad3d47d18,src-857eccf6e34ee1a0,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.199,bar,35.6248,cm³·g⁻¹,circle,none,#d36d70,false,high,286.26,202.9,assigned_by=joint_assignment; source=auto,pt-79c3ad1702d28f95,src-d54f00ea92d36db7,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.2124,bar,36.921,cm³·g⁻¹,circle,none,#d36d70,false,medium,294.0,190.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-4c258f234f729b2e,src-633832b190338ca1,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.2228,bar,36.7008,cm³·g⁻¹,circle,none,#d36d70,false,low,300.03,192.19,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-74a7e9c331b9c32c,src-53c9b2a1f338a64f,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.2228,bar,36.3994,cm³·g⁻¹,circle,none,#d36d70,false,low,300.03,195.19,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-91584f30015481d3,src-cdd09963af197eba,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
fig10,x,fig10:x:co2-273k-ads-f57f0d76,CO2 273K ads,0.2349,bar,38.4279,cm³·g⁻¹,circle,none,#d36d70,false,medium,307.0,175.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-97c71838b3b06a9b,src-330142f9ea3182b8,CO2,true,Legend entry 'a' is a red filled circle; caption explicitly identifies (a) as CO2 adsorption at 273 K.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,,
