figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,13.741,mbar,2.3278,mmol/g,square,solid,#141414,false,low,230.71,418.9,assigned_by=joint_assignment; source=auto,pt-4d094b42d99bc36e,src-11d2278c0f852438,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,15.3525,mbar,2.3904,mmol/g,square,solid,#141414,false,low,231.87,411.12,assigned_by=joint_assignment; source=auto,pt-794ec3015578750b,src-1af6882dd9e908dc,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,19.7007,mbar,2.5121,mmol/g,square,solid,#141414,false,medium,235.0,396.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-bfda800403c77c8c,src-b5683315305c91ea,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,33.593,mbar,2.327,mmol/g,square,solid,#141414,false,medium,245.0,419.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-e80695af5a9da5d4,src-7bcc34cd7f78dfde,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,52.4865,mbar,2.8905,mmol/g,square,solid,#141414,false,low,258.6,348.98,assigned_by=joint_assignment; source=auto,pt-1e2918e301bad5b0,src-895fbadfb3064070,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,98.1503,mbar,3.2345,mmol/g,square,solid,#141414,false,high,291.47,306.23,assigned_by=joint_assignment; source=auto,pt-8beb882d2a98602b,src-61071ac4c02bb281,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,118.3357,mbar,3.349,mmol/g,square,solid,#141414,false,medium,306.0,292.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-356fcbb56ef83600,src-ca9b6067820fb666,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,119.725,mbar,3.3973,mmol/g,square,solid,#141414,false,medium,307.0,286.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-2b84d0181a020615,src-3195af920b501762,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,248.9229,mbar,3.3973,mmol/g,square,solid,#141414,false,medium,400.0,286.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-db9f342f219ee86e,src-7a9c44ad2c4ff5c3,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,283.6535,mbar,3.4698,mmol/g,square,solid,#141414,false,medium,425.0,277.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-707b0effe74f3710,src-b79fe664d06b5710,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,316.995,mbar,3.5422,mmol/g,square,solid,#141414,false,medium,449.0,268.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-49a2083056c27559,src-2bded90bd5eb1733,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,326.7195,mbar,3.5985,mmol/g,square,solid,#141414,false,medium,456.0,261.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-7dec8fb8d634d5aa,src-f05b277bf9757afb,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,355.8933,mbar,3.6227,mmol/g,square,solid,#141414,false,medium,477.0,258.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-4d18306449b7eaaf,src-23a9a6433d30a6a7,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,375.3424,mbar,3.6709,mmol/g,square,solid,#141414,false,medium,491.0,252.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-94081ffae5d0a33c,src-f87a6990c0cfb3c3,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,394.7916,mbar,3.7112,mmol/g,square,solid,#141414,false,medium,505.0,247.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-62b44134fcef3913,src-20ce99644eaab0d6,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,404.5162,mbar,3.7917,mmol/g,square,solid,#141414,false,medium,512.0,237.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-414acb129fabf745,src-4c3500d9bd6c6871,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,482.3128,mbar,3.9204,mmol/g,square,solid,#141414,false,medium,568.0,221.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-a917a97308174b36,src-094f1e8b45fb1b79,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,547.6064,mbar,4.0411,mmol/g,square,solid,#141414,false,medium,615.0,206.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-6f8758cc98e9ed33,src-b3dcb26ed9e77b6d,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,865.2944,mbar,4.8913,mmol/g,square,solid,#141414,false,medium,843.68,100.36,assigned_by=joint_assignment; source=auto,pt-a3549fbe759629f0,src-2123e6d54cd45a57,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,899.0248,mbar,4.912,mmol/g,square,solid,#141414,false,high,867.96,97.79,assigned_by=joint_assignment; source=auto,pt-1bb09e87fba5e993,src-9486fba6a74b8671,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,961.5955,mbar,4.9505,mmol/g,square,solid,#141414,false,medium,913.0,93.0,assigned_by=joint_assignment; source=auto,pt-dddd206ec6b1df18,src-6703f617e4b4b38a,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-273k-78e92393,CO2 273K,1096.9755,mbar,5.0091,mmol/g,square,solid,#141414,false,high,1010.45,85.72,assigned_by=joint_assignment; source=auto,pt-e1116400359153b7,src-c14f149367a85721,CO2,true,Legend group header 'CO2 @' binds the 273K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-283k-09bb156a,CO2 283K,3.03,mbar,1.9165,mmol/g,hexagon,solid,#f1231f,false,medium,223.0,470.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-99fe368605b94692,src-161db7731a700ca7,CO2,true,Legend group header 'CO2 @' binds the 283K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-283k-09bb156a,CO2 283K,3.7246,mbar,1.1721,mmol/g,hexagon,solid,#f1231f,false,medium,223.5,562.5,assigned_by=joint_assignment; source=auto,pt-c3ea069d628227f0,src-5077f2a31f8aeb61,CO2,true,Legend group header 'CO2 @' binds the 283K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-283k-09bb156a,CO2 283K,5.8085,mbar,1.7073,mmol/g,hexagon,solid,#f1231f,false,medium,225.0,496.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-8b3e43577a956751,src-1d6571a25fed3705,CO2,true,Legend group header 'CO2 @' binds the 283K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-283k-09bb156a,CO2 283K,8.4619,mbar,1.5801,mmol/g,hexagon,solid,#f1231f,false,medium,226.91,511.8,assigned_by=joint_assignment; source=auto,pt-4f0cc547d2faf472,src-dac88d190f0620a0,CO2,true,Legend group header 'CO2 @' binds the 283K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-283k-09bb156a,CO2 283K,15.7553,mbar,1.7372,mmol/g,hexagon,solid,#f1231f,false,low,232.16,492.28,assigned_by=joint_assignment; source=auto,pt-4a9c3bfd1819a123,src-96fd970ef2a8c627,CO2,true,Legend group header 'CO2 @' binds the 283K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-283k-09bb156a,CO2 283K,19.7007,mbar,2.2384,mmol/g,hexagon,solid,#f1231f,false,medium,235.0,430.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-9ba805cea5f8e880,src-712759407053e41e,CO2,true,Legend group header 'CO2 @' binds the 283K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
fig2a,a,fig2a:a:co2-283k-09bb156a,CO2 283K,36.3714,mbar,2.5684,mmol/g,hexagon,solid,#f1231f,false,medium,247.0,389.0,overlap_flag=true; assigned_by=joint_assignment; source=auto,pt-cb670cca2cc9e49f,src-f853e6e9f45c55b2,CO2,true,Legend group header 'CO2 @' binds the 283K entry to CO2; caption identifies panel A as CO2 and N2 equilibrium isotherms.,co2_loading,mmol per gram of pure CALF-20,partially_visible_marker,,,,,,,
