figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,26.8379,kPa,2.2246,mmol/g,circle,solid,#f21f22,false,high,285.41,187.09,assigned_by=color; source=auto,pt-8208935f306e13ae,src-c82f52066a57ded2,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,33.236,kPa,2.3049,mmol/g,circle,solid,#f21f22,false,high,313.21,175.0,assigned_by=color; source=auto,pt-d18b35a721bf795c,src-4f7cc8d8af13d141,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,40.0093,kPa,2.3842,mmol/g,circle,solid,#f21f22,false,high,342.64,163.07,assigned_by=color; source=auto,pt-3b114eec7d7cfb6b,src-bc46bb372e1f91ce,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,46.7734,kPa,2.4492,mmol/g,circle,solid,#f21f22,false,high,372.03,153.28,assigned_by=color; source=auto,pt-95bf41df4229e632,src-dd973b3fd8c9327f,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,53.427,kPa,2.5111,mmol/g,circle,solid,#f21f22,false,high,400.94,143.97,assigned_by=color; source=auto,pt-8e8012e17717fb06,src-3103095c68f6a304,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,60.0552,kPa,2.5674,mmol/g,circle,solid,#f21f22,false,high,429.74,135.5,assigned_by=color; source=auto,pt-e12425ecf79e10e6,src-067a4d4f43989df0,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,66.7733,kPa,2.6203,mmol/g,circle,solid,#f21f22,false,high,458.93,127.53,assigned_by=color; source=auto,pt-78891130350d8600,src-d9944621f9dccf17,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,73.3923,kPa,2.6726,mmol/g,circle,solid,#f21f22,false,high,487.69,119.66,assigned_by=color; source=auto,pt-5a30d286620db0c8,src-f70152574e3145ed,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,80.0436,kPa,2.7195,mmol/g,circle,solid,#f21f22,false,high,516.59,112.61,assigned_by=color; source=auto,pt-906597bd8e8f8a76,src-c4688253c52dda4d,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
fig2b,b,fig2b:b:co2-303k-bc2a4dd1,CO2 303K,86.6305,kPa,2.7645,mmol/g,circle,solid,#f21f22,false,high,545.21,105.84,assigned_by=color; source=auto,pt-f56396fb7941585c,src-27c50bac3144e00f,CO2,true,Legend heading “CO2” binds the 303K entry to CO2; caption states that panel B contains CO2 isotherms from 303 to 373 K.,co2_loading,mmol per gram of structured CALF-20 composite,visible_marker,,,,,,,
