figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,-0.0008,dimensionless,0.6475,cm³ g⁻¹,circle,solid,#5c6cfa,false,medium,152.0,466.32,assigned_by=color; source=auto,pt-b08f84410a42a260,src-22d3bfac6aaef20a,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0001,dimensionless,4.5214,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,152.42,455.26,assigned_by=color; source=auto,pt-4e9e4707958b20be,src-5cd637eaf56e44fc,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0002,dimensionless,3.5603,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,152.5,458.0,assigned_by=color; source=auto,pt-e4f7e37559f6f947,src-bd91df2a47c202d3,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0013,dimensionless,8.8124,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,153.0,443.0,assigned_by=color; source=auto,pt-d59c3efb71044962,src-0c1417b75bea7eb4,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0015,dimensionless,10.9178,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,153.09,436.99,assigned_by=color; source=auto,pt-29b99ef22af046e4,src-a5c097dd258d730a,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.002,dimensionless,14.5801,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,153.35,426.53,assigned_by=color; source=auto,pt-20ef389b7856e558,src-9d92d0acb9297a74,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0021,dimensionless,15.3855,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,153.41,424.23,assigned_by=color; source=auto,pt-0a151d0baeec28d3,src-f483b8a00cc8da30,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0033,dimensionless,20.7173,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,154.0,409.0,assigned_by=color; source=auto,pt-9fbca126384a1e40,src-730ef2895996d875,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0033,dimensionless,18.6164,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,154.0,415.0,assigned_by=color; source=auto,pt-72db647c010ea452,src-fc73aa6349e82deb,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0036,dimensionless,25.892,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,154.11,394.22,assigned_by=color; source=auto,pt-1345c82c8dcbeb0d,src-48bbbefe2503fc24,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0041,dimensionless,22.6475,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,154.38,403.49,assigned_by=color; source=auto,pt-7488f0afc1e7172d,src-b7cb74047878e2be,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0054,dimensionless,30.5213,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,155.0,381.0,assigned_by=color; source=auto,pt-130296a3a7b4ceef,src-4fdce6b82958c19d,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0058,dimensionless,28.1655,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,155.2,387.73,assigned_by=color; source=auto,pt-e295747f1e9c75b0,src-fd5a7d30521e5e87,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0062,dimensionless,32.8016,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,155.38,374.49,assigned_by=color; source=auto,pt-47a1393c2a73241d,src-5b23780b845fdec5,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0062,dimensionless,34.9936,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,155.41,368.23,assigned_by=color; source=auto,pt-3a2e91c9f0789d20,src-56487a2b94ba3a36,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0063,dimensionless,35.4878,cm³ g⁻¹,circle,solid,#5c6cfa,false,low,155.45,366.82,assigned_by=color; source=auto,pt-420d207f1c68c8c7,src-12c8c78c6b04d2da,CO2,true,Direct in-panel label 'CO2@195 K'; caption states 'CO2 adsorption–desorption isotherm at 195 K for NUM-27a.',co2_uptake,reported gas volume per gram of sorbent,visible_marker,,,,,,,
