figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,-0.0003,dimensionless,0.486,cm³ g⁻¹,circle,solid,#5462fb,false,high,149.36,466.78,assigned_by=color; source=auto,pt-e4a09585bf56103e,src-34654aa1e4af7473,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,-0.0002,dimensionless,8.2907,cm³ g⁻¹,circle,solid,#5462fb,false,medium,149.41,444.49,assigned_by=color; source=auto,pt-5e5dbbeb23e6c72f,src-fc8b8cd8e1f8932f,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.001,dimensionless,9.8628,cm³ g⁻¹,circle,solid,#5462fb,false,low,150.0,440.0,assigned_by=color; source=auto,pt-9e647f1eeb60d96b,src-a9b3d396bef3d927,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.0016,dimensionless,4.9503,cm³ g⁻¹,circle,solid,#5462fb,false,low,150.32,454.03,assigned_by=color; source=auto,pt-f68232b25287af75,src-5e651b971442f6bb,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.0017,dimensionless,12.4784,cm³ g⁻¹,circle,solid,#5462fb,false,low,150.35,432.53,assigned_by=color; source=auto,pt-e9f7ac22bc304e8e,src-6376d4449da6651b,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.0017,dimensionless,14.5793,cm³ g⁻¹,circle,solid,#5462fb,false,low,150.35,426.53,assigned_by=color; source=auto,pt-c895da0f3617cde2,src-9235f69840d86178,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.0028,dimensionless,25.8889,cm³ g⁻¹,circle,solid,#5462fb,false,low,150.87,394.23,assigned_by=color; source=auto,pt-e607bd9c7216f39f,src-361e41561274c929,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.0034,dimensionless,19.8209,cm³ g⁻¹,circle,solid,#5462fb,false,medium,151.17,411.56,assigned_by=color; source=auto,pt-3b5efc67860d29db,src-f90f2e01979341e5,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.0034,dimensionless,22.0198,cm³ g⁻¹,circle,solid,#5462fb,false,low,151.15,405.28,assigned_by=color; source=auto,pt-765c9d477125a719,src-20461aa26d462794,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.0044,dimensionless,28.9562,cm³ g⁻¹,circle,solid,#5462fb,false,low,151.65,385.47,assigned_by=color; source=auto,pt-c77ac63e504e3f71,src-369cbf99970111eb,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
