figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,-0.000584,dimensionless,0.587277,cm³ g⁻¹,circle,solid,#5875F3,false,high,149.36,466.78,assigned_by=color; source=auto,pt-e4a09585bf56103e,src-34654aa1e4af7473,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.003117,dimensionless,22.10328,cm³ g⁻¹,circle,solid,#5875F3,false,low,151.15,405.28,"assigned_by=color; source=auto; evidence_kind=partial_marker; evidence_ref=panel.png; source_evidence=White interior crescent and blue ring boundary support a partial centre near native pixel (151.15, 405.28); uncertainty_px=3.0",pt-765c9d477125a719,src-20461aa26d462794,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,0.006202,1.049561
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.007376,dimensionless,43.059516,cm³ g⁻¹,circle,solid,#5875F3,false,medium,153.21,345.38,assigned_by=color; source=auto,pt-511ab26662e4320c,src-e7bef670245b51f7,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.009133,dimensionless,47.373212,cm³ g⁻¹,circle,solid,#5875F3,false,medium,154.06,333.05,assigned_by=color; source=auto,pt-8797e2a66b8d854e,src-8af7ccf544fc94f9,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.010601,dimensionless,51.330057,cm³ g⁻¹,circle,solid,#5875F3,false,medium,154.77,321.74,assigned_by=color; source=auto,pt-a97be4a3f4be0cab,src-241720818c2112fa,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.012544,dimensionless,55.00702,cm³ g⁻¹,circle,solid,#5875F3,false,medium,155.71,311.23,assigned_by=color; source=auto,pt-c05f3233987c3ba5,src-bb025f0164a88758,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.014363,dimensionless,58.285149,cm³ g⁻¹,circle,solid,#5875F3,false,medium,156.59,301.86,assigned_by=color; source=auto,pt-1a628e890f5555d8,src-7d80c39d7b07562d,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,visible_marker,,,,,,,
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.018312,dimensionless,61.909633,cm³ g⁻¹,circle,solid,#5875F3,false,low,158.5,291.5,"assigned_by=agent03_review_points; source=agent03_review_points; evidence_kind=partial_marker; uncertainty_px=3.0; evidence_ref=crowded_strip:01; source_evidence=Blue open-circle contour centered near native panel pixel (158.5, 291.5), distinct from adjacent candidate markers.",pt-d8c34d6037a51a3e,src-57b7497a866adbed,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,0.006202,1.049561
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.022446,dimensionless,63.658902,cm³ g⁻¹,circle,solid,#5875F3,false,low,160.5,286.5,"evidence_kind=partial_marker; evidence_ref=crowded_strip:01; source_evidence=Separate white interior lobe and blue circular arc are visible around native pixel (160.5, 286.5) between adjacent low-pressure rings.; uncertainty_px=3.0",pt-6d8cb865106abe58,src-6d8cb865106abe58,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,0.006202,1.049561
figp1,x,figp1:x:co2-195k-d3fd5c48,CO2 195K,0.027615,dimensionless,66.632658,cm³ g⁻¹,circle,solid,#5875F3,false,low,163.0,278.0,"evidence_kind=partial_marker; evidence_ref=crowded_strip:01; source_evidence=Distinct upper white interior lobe and blue circular arc support a partial open-circle centre near native pixel (163.0, 278.0); uncertainty_px=3.0",pt-f2c54d4c752f557f,src-870fbac724ebcb9f,CO2,true,Direct upper-right plot annotation 'CO2@195 K' adjacent to the blue high-uptake series.,co2_uptake,per gram of adsorbent,partially_visible_marker,,,,,,0.006202,1.049561
