figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0012,dimensionless,1.0912,cm³ g⁻¹,circle,solid,#6878ff,false,low,84.0,205.84,assigned_by=color; source=auto,pt-4f62de10b3346e65,src-48b9e6137c81bfb9,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0012,dimensionless,11.4212,cm³ g⁻¹,circle,solid,#6878ff,false,high,84.0,194.04,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-2cc770557e8343db,src-d4e8c10372cf40a9,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0028,dimensionless,15.7983,cm³ g⁻¹,circle,solid,#6878ff,false,high,84.31,189.04,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-3c71377f4aca926d,src-f48f76a9938df06b,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0036,dimensionless,23.0205,cm³ g⁻¹,circle,solid,#6878ff,false,low,84.45,180.79,assigned_by=color; source=auto,pt-2928bf13af0abf2e,src-830d61204f221d8b,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0039,dimensionless,20.1929,cm³ g⁻¹,circle,solid,#6878ff,false,low,84.51,184.02,assigned_by=color; source=auto,pt-b98d8e0aa3736507,src-5490c78e454e2e87,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0047,dimensionless,25.2528,cm³ g⁻¹,circle,solid,#6878ff,false,low,84.68,178.24,assigned_by=color; source=auto,pt-a40a0c827afa4590,src-4253e50090d7bb34,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0064,dimensionless,32.3438,cm³ g⁻¹,circle,solid,#6878ff,false,high,85.0,170.14,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-0633961308fd260f,src-234b7658a12a99c0,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0085,dimensionless,39.4084,cm³ g⁻¹,circle,solid,#6878ff,false,high,85.4,162.07,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-87dfcc361d45fe48,src-47a9f1a8a6298895,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0107,dimensionless,45.4926,cm³ g⁻¹,circle,solid,#6878ff,false,high,85.84,155.12,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-b4a3e6367a92e96b,src-e8bffdec35131c45,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0141,dimensionless,51.2879,cm³ g⁻¹,circle,solid,#6878ff,false,low,86.5,148.5,overlap_flag=true; assigned_by=color; source=auto,pt-2c8265e9b8e57771,src-c2b9145da93b2705,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0166,dimensionless,57.8973,cm³ g⁻¹,circle,solid,#6878ff,false,high,86.99,140.95,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-792dd3855bc0399f,src-3421698b5f26ab3d,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0208,dimensionless,64.962,cm³ g⁻¹,circle,solid,#6878ff,false,high,87.8,132.88,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-5a3f7b44ca53ff16,src-9418ec4b20dc0811,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0259,dimensionless,71.7727,cm³ g⁻¹,circle,solid,#6878ff,false,high,88.79,125.1,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-f817269899d0007e,src-4ac23b717315cb49,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0321,dimensionless,78.8286,cm³ g⁻¹,circle,solid,#6878ff,false,high,90.0,117.04,overlap_flag=true; assigned_by=agent03_review_points; source=agent03_review_points,pt-733142a82fb5e8fb,src-c674b7d928976c55,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
