figure_id,panel_id,series_id,series_name,x,x_unit,y,y_unit,marker_shape,line_style,color_hex,is_inferred,confidence,source_pixel_x,source_pixel_y,notes,point_id,source_instance_id,species,export_eligible,species_evidence,quantity_type,loading_basis,evidence_type,normalized_x,normalized_x_unit,normalized_y,normalized_y_unit,conversion_id,uncertainty_x,uncertainty_y
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,-0.0006,dimensionless,1.6154,cm³ g⁻¹,circle,solid,#828ffc,false,medium,83.64,205.24,assigned_by=color; source=auto,pt-51438cd977e0fce9,src-0322353ae6239c93,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,-0.0004,dimensionless,4.2433,cm³ g⁻¹,circle,solid,#828ffc,false,low,83.68,202.24,assigned_by=color; source=auto,pt-b358d154541c6863,src-83eacf8de9281911,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0029,dimensionless,16.9183,cm³ g⁻¹,circle,solid,#828ffc,false,low,84.32,187.76,assigned_by=color; source=auto,pt-b47fb7a0dc841aa8,src-9608305038721ca9,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0038,dimensionless,27.2138,cm³ g⁻¹,circle,solid,#828ffc,false,low,84.5,176.0,assigned_by=color; source=auto,pt-00d1aa70dd645c80,src-908179997a9a2cfb,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0038,dimensionless,24.5875,cm³ g⁻¹,circle,solid,#828ffc,false,low,84.5,179.0,assigned_by=color; source=auto,pt-e67b5ddfa389645d,src-f60db42474f5b0bf,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0038,dimensionless,19.335,cm³ g⁻¹,circle,solid,#828ffc,false,low,84.5,185.0,assigned_by=color; source=auto,pt-69d1fc323b0e38f4,src-68b339e8503e233a,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0039,dimensionless,20.1045,cm³ g⁻¹,circle,solid,#828ffc,false,medium,84.51,184.12,assigned_by=color; source=auto,pt-cddeb026cdc3c4f6,src-9d579f60e091e642,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0044,dimensionless,28.0355,cm³ g⁻¹,circle,solid,#828ffc,false,medium,84.61,175.06,assigned_by=color; source=auto,pt-5ea995a0a1936b04,src-30e7599a0939cd47,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0048,dimensionless,32.2568,cm³ g⁻¹,circle,solid,#828ffc,false,low,84.68,170.24,assigned_by=color; source=auto,pt-ef7cc241da07e755,src-5762a3510cd693ca,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.009,dimensionless,41.2019,cm³ g⁻¹,circle,solid,#828ffc,false,low,85.51,160.02,assigned_by=color; source=auto,pt-513e9a03db24be58,src-89355b62f7579962,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0096,dimensionless,53.0387,cm³ g⁻¹,circle,solid,#828ffc,false,high,85.62,146.5,assigned_by=color; source=auto,pt-217eacf76fbbcf17,src-41b5363711e757e6,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0099,dimensionless,46.2635,cm³ g⁻¹,circle,solid,#828ffc,false,low,85.68,154.24,assigned_by=color; source=auto,pt-2c6c9436718102af,src-130cf60defcc34b4,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0099,dimensionless,42.6961,cm³ g⁻¹,circle,solid,#828ffc,false,medium,85.69,158.31,assigned_by=color; source=auto,pt-4f8cecfa44a6ff70,src-9676b055614be7b0,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0153,dimensionless,57.495,cm³ g⁻¹,circle,solid,#828ffc,false,low,86.73,141.41,assigned_by=color; source=auto,pt-91f4fb021bce057e,src-0d15053c5cd01c74,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0161,dimensionless,60.2609,cm³ g⁻¹,circle,solid,#828ffc,false,high,86.88,138.25,assigned_by=color; source=auto,pt-967927690c0661e2,src-bccb4858aacd5f89,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0459,dimensionless,103.1809,cm³ g⁻¹,circle,solid,#828ffc,false,low,92.67,89.22,overlap_flag=true; assigned_by=color; source=auto,pt-54e883827c4d0db7,src-576c1aed17b78bd3,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0611,dimensionless,117.356,cm³ g⁻¹,circle,solid,#828ffc,false,medium,95.63,73.03,assigned_by=color; source=auto,pt-45010b77485262c1,src-ffd35d31da64d150,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.0883,dimensionless,120.587,cm³ g⁻¹,circle,solid,#828ffc,false,medium,100.9,69.34,assigned_by=color; source=auto,pt-2f2ef46e7290a6d3,src-1a82ed692a07a362,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.1371,dimensionless,121.7866,cm³ g⁻¹,circle,solid,#828ffc,false,high,110.38,67.97,assigned_by=color; source=auto,pt-ccbdf19c20046e34,src-123a35ff661084c2,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.1811,dimensionless,122.1677,cm³ g⁻¹,circle,solid,#828ffc,false,medium,118.92,67.53,assigned_by=color; source=auto,pt-4805be7fc227bd42,src-f2072f9bb42653af,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.1957,dimensionless,122.3558,cm³ g⁻¹,circle,solid,#828ffc,false,low,121.76,67.32,assigned_by=color; source=auto,pt-14cd69c48b7c31e8,src-c528dc45948df1ae,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.2221,dimensionless,122.6347,cm³ g⁻¹,circle,solid,#828ffc,false,low,126.88,67.0,assigned_by=color; source=auto,pt-b5f68c2125581e64,src-65e9a54cb2b72ec7,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.2665,dimensionless,122.6347,cm³ g⁻¹,circle,solid,#828ffc,false,high,135.5,67.0,assigned_by=color; source=auto,pt-04092880a299227a,src-567138d061382bd6,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.3463,dimensionless,123.0724,cm³ g⁻¹,circle,solid,#828ffc,false,low,151.0,66.5,overlap_flag=true; assigned_by=color; source=auto,pt-26be628fcb7631bc,src-33351b483934acd7,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.3929,dimensionless,123.1479,cm³ g⁻¹,circle,solid,#828ffc,false,low,160.03,66.41,overlap_flag=true; assigned_by=color; source=auto,pt-43f1e907bdc27770,src-763d7f3efee53c20,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.4457,dimensionless,123.4226,cm³ g⁻¹,circle,solid,#828ffc,false,high,170.3,66.1,assigned_by=color; source=auto,pt-5e513378792217fc,src-0ebebe4952ff9b82,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.5936,dimensionless,123.9478,cm³ g⁻¹,circle,solid,#828ffc,false,low,199.0,65.5,overlap_flag=true; assigned_by=color; source=auto,pt-ff7a7637a8f10c27,src-8445633faaccc1a9,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.6425,dimensionless,123.7489,cm³ g⁻¹,circle,solid,#828ffc,false,low,208.5,65.73,overlap_flag=true; assigned_by=color; source=auto,pt-a29471d16b3d617e,src-83a1b06b813fc986,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,partially_visible_marker,,,,,,,
fig3a,a,fig3a:a:co2-195k-d3fd5c48,CO2 195K,0.7429,dimensionless,124.3855,cm³ g⁻¹,circle,solid,#828ffc,false,high,228.0,65.0,assigned_by=color; source=auto,pt-b3b3394d9cc97c77,src-84bb82a69e35d9cb,CO2,true,Direct in-plot label “CO2@195 K”; caption states “CO₂ adsorption–desorption isotherm at 195 K.”,co2_uptake,cm³ per gram of NUM-27a,visible_marker,,,,,,,
