case,n_series,palette,width,jpeg_q,double_jpeg,marker_pt,density,loops,marker_r_px,n_truth,n_pred,crowded_frac,recall,precision,ownership,recall_clear,recall_crowded,centre_px_p50,centre_px_p95,err_y_p50,err_y_p95,err_x_p50,seconds,error
c00_s4_distinct_w1600_q92_m7_normal,4,distinct,1600,92,False,7,normal,False,9.7,112,110,0.036,0.982,1.0,0.991,1.0,0.5,2.35,4.27,0.007,0.0268,0.374,6.6,
c01_s4_distinct_w1600_q92_m5_dense_loops,4,distinct,1600,92,False,5,dense,True,6.9,432,257,0.903,0.576,0.969,0.996,0.952,0.536,1.23,3.14,0.0058,0.0182,0.438,6.3,
c02_s4_distinct_w1200_q78_m7_normal,4,distinct,1200,78,False,7,normal,False,7.3,112,108,0.036,0.964,1.0,0.991,0.972,0.75,0.9,3.63,0.003,0.0187,0.25,2.6,
c03_s4_distinct_w1200_q78_m5_dense_loops,4,distinct,1200,78,False,5,dense,True,5.2,432,315,0.884,0.671,0.921,0.997,0.94,0.636,0.87,2.61,0.0034,0.0126,0.399,4.4,
c04_s4_distinct_w1000_q70x2_m7_normal,4,distinct,1000,70,True,7,normal,False,6.1,112,111,0.036,0.991,1.0,1.0,1.0,0.75,1.08,2.93,0.0074,0.0297,0.314,1.5,
c05_s4_distinct_w1000_q70x2_m5_dense_loops,4,distinct,1000,70,True,5,dense,True,4.3,432,362,0.745,0.729,0.87,0.997,0.936,0.658,0.95,2.28,0.0076,0.0249,0.416,2.8,
c06_s8_distinct_w1600_q92_m7_normal,8,distinct,1600,92,False,7,normal,False,9.7,224,254,0.179,0.955,0.843,1.0,0.973,0.875,1.13,5.0,0.0041,0.0196,0.477,10.1,
c07_s8_distinct_w1600_q92_m5_dense_loops,8,distinct,1600,92,False,5,dense,True,6.9,864,570,0.979,0.639,0.968,0.995,1.0,0.631,1.83,3.93,0.007,0.0209,0.608,14.8,
c08_s8_distinct_w1200_q78_m7_normal,8,distinct,1200,78,False,7,normal,False,7.3,224,275,0.076,0.987,0.804,1.0,1.0,0.824,0.89,3.64,0.0036,0.0307,0.301,5.0,
c09_s8_distinct_w1200_q78_m5_dense_loops,8,distinct,1200,78,False,5,dense,True,5.2,864,533,0.961,0.535,0.867,0.994,0.912,0.519,1.42,3.71,0.0081,0.0233,0.57,7.7,
c10_s8_distinct_w1000_q70x2_m7_normal,8,distinct,1000,70,True,7,normal,False,6.1,224,198,0.116,0.754,0.854,0.154,0.793,0.462,0.87,3.58,0.007,0.0228,0.637,5.6,
c11_s8_distinct_w1000_q70x2_m5_dense_loops,8,distinct,1000,70,True,5,dense,True,4.3,864,619,0.877,0.594,0.829,0.942,0.991,0.538,1.12,2.99,0.0038,0.0119,0.536,6.0,
c12_s11_origin_w1600_q92_m7_normal,11,origin,1600,92,False,7,normal,False,9.7,308,251,0.253,0.675,0.829,0.947,0.752,0.449,0.99,4.85,0.002,0.0144,0.85,45.3,
c13_s11_origin_w1600_q92_m5_dense_loops,11,origin,1600,92,False,5,dense,True,6.9,1188,650,0.939,0.509,0.931,0.945,0.986,0.478,2.01,4.09,0.0029,0.009,1.078,51.7,
c14_s11_origin_w1200_q78_m7_normal,11,origin,1200,78,False,7,normal,False,7.3,308,315,0.208,0.76,0.743,0.761,0.779,0.688,0.84,3.71,0.0022,0.0196,0.514,19.0,
c15_s11_origin_w1200_q78_m5_dense_loops,11,origin,1200,78,False,5,dense,True,5.2,1188,722,0.85,0.509,0.838,0.909,0.635,0.487,1.49,3.41,0.009,0.0272,0.651,31.9,
c16_s11_origin_w1000_q70x2_m7_normal,11,origin,1000,70,True,7,normal,False,6.1,308,321,0.107,0.831,0.798,0.852,0.847,0.697,0.9,3.13,0.0026,0.02,0.537,12.1,
c17_s11_origin_w1000_q70x2_m5_dense_loops,11,origin,1000,70,True,5,dense,True,4.3,1188,705,0.956,0.469,0.79,0.747,0.962,0.446,1.41,3.25,0.0056,0.0198,0.876,15.5,
c18_s17_origin_w1600_q92_m7_normal,17,origin,1600,92,False,7,normal,False,9.7,476,285,0.279,0.489,0.818,0.841,0.461,0.564,1.13,5.92,0.0043,0.0416,0.804,118.9,
c19_s17_origin_w1600_q92_m5_dense_loops,17,origin,1600,92,False,5,dense,True,6.9,1836,458,0.959,0.231,0.926,0.873,0.092,0.237,2.26,5.22,0.009,0.0274,1.201,135.7,
c20_s17_origin_w1200_q78_m7_normal,17,origin,1200,78,False,7,normal,False,7.3,476,363,0.38,0.574,0.752,0.795,0.563,0.591,1.15,5.05,0.0034,0.023,0.66,72.5,
c21_s17_origin_w1200_q78_m5_dense_loops,17,origin,1200,78,False,5,dense,True,5.2,1836,847,0.922,0.301,0.652,0.708,0.153,0.313,1.67,4.15,0.0071,0.0185,1.085,88.0,
c22_s17_origin_w1000_q70x2_m7_normal,17,origin,1000,70,True,7,normal,False,6.1,476,435,0.475,0.66,0.722,0.513,0.652,0.668,1.44,3.91,0.0052,0.0184,0.78,55.1,
c23_s17_origin_w1000_q70x2_m5_dense_loops,17,origin,1000,70,True,5,dense,True,4.3,1836,1120,0.948,0.431,0.706,0.594,0.812,0.41,1.44,3.25,0.0048,0.0128,0.938,61.9,
