case,n_series,palette,width,jpeg_q,double_jpeg,marker_pt,density,loops,marker_r_px,n_truth,n_pred,crowded_frac,recall,precision,ownership,recall_clear,recall_crowded,centre_px_p50,centre_px_p95,err_y_p50,err_y_p95,err_x_p50,seconds,error
c00_s4_distinct_w1600_q92_m7_normal,4,distinct,1600,92,False,7,normal,False,9.7,112,110,0.036,0.982,1.0,0.991,1.0,0.5,2.35,4.27,0.007,0.0268,0.374,26.9,
c01_s4_distinct_w1600_q92_m5_dense_loops,4,distinct,1600,92,False,5,dense,True,6.9,432,258,0.903,0.579,0.969,0.996,0.952,0.538,1.24,3.18,0.0059,0.0187,0.439,25.8,
c02_s4_distinct_w1200_q78_m7_normal,4,distinct,1200,78,False,7,normal,False,7.3,112,108,0.036,0.964,1.0,0.991,0.972,0.75,0.9,3.63,0.003,0.0187,0.25,16.6,
c03_s4_distinct_w1200_q78_m5_dense_loops,4,distinct,1200,78,False,5,dense,True,5.2,432,315,0.884,0.671,0.921,0.997,0.94,0.636,0.87,2.61,0.0034,0.0126,0.399,18.0,
c04_s4_distinct_w1000_q70x2_m7_normal,4,distinct,1000,70,True,7,normal,False,6.1,112,111,0.036,0.991,1.0,1.0,1.0,0.75,1.08,2.93,0.0074,0.0297,0.314,8.9,
c05_s4_distinct_w1000_q70x2_m5_dense_loops,4,distinct,1000,70,True,5,dense,True,4.3,432,363,0.745,0.731,0.871,0.997,0.936,0.661,0.95,2.28,0.0076,0.0248,0.417,24.4,
c06_s8_distinct_w1600_q92_m7_normal,8,distinct,1600,92,False,7,normal,False,9.7,224,254,0.179,0.955,0.843,1.0,0.973,0.875,1.13,5.0,0.0041,0.0196,0.477,86.7,
c07_s8_distinct_w1600_q92_m5_dense_loops,8,distinct,1600,92,False,5,dense,True,6.9,864,573,0.979,0.642,0.969,0.995,1.0,0.635,1.86,3.98,0.0069,0.0211,0.615,58.2,
c08_s8_distinct_w1200_q78_m7_normal,8,distinct,1200,78,False,7,normal,False,7.3,224,275,0.076,0.987,0.804,1.0,1.0,0.824,0.89,3.64,0.0036,0.0307,0.301,21.5,
c09_s8_distinct_w1200_q78_m5_dense_loops,8,distinct,1200,78,False,5,dense,True,5.2,864,535,0.961,0.537,0.867,0.991,0.912,0.522,1.43,3.71,0.0081,0.0233,0.571,29.4,
c10_s8_distinct_w1000_q70x2_m7_normal,8,distinct,1000,70,True,7,normal,False,6.1,224,197,0.116,0.754,0.858,0.154,0.793,0.462,0.87,3.58,0.007,0.0228,0.637,21.0,
c11_s8_distinct_w1000_q70x2_m5_dense_loops,8,distinct,1000,70,True,5,dense,True,4.3,864,622,0.877,0.596,0.828,0.94,0.991,0.541,1.12,2.99,0.0038,0.0119,0.535,38.6,
c12_s11_origin_w1600_q92_m7_normal,11,origin,1600,92,False,7,normal,False,9.7,308,253,0.253,0.675,0.822,0.947,0.752,0.449,0.99,4.85,0.002,0.0144,0.85,152.5,
c13_s11_origin_w1600_q92_m5_dense_loops,11,origin,1600,92,False,5,dense,True,6.9,1188,657,0.939,0.512,0.925,0.942,0.986,0.481,2.01,4.1,0.0029,0.009,1.085,254.8,
c14_s11_origin_w1200_q78_m7_normal,11,origin,1200,78,False,7,normal,False,7.3,308,318,0.208,0.76,0.736,0.761,0.779,0.688,0.84,3.71,0.0022,0.0196,0.514,69.6,
c15_s11_origin_w1200_q78_m5_dense_loops,11,origin,1200,78,False,5,dense,True,5.2,1188,726,0.85,0.511,0.836,0.908,0.635,0.489,1.5,3.43,0.009,0.0272,0.652,100.7,
c16_s11_origin_w1000_q70x2_m7_normal,11,origin,1000,70,True,7,normal,False,6.1,308,325,0.107,0.831,0.788,0.852,0.847,0.697,0.9,3.13,0.0026,0.02,0.537,29.3,
c17_s11_origin_w1000_q70x2_m5_dense_loops,11,origin,1000,70,True,5,dense,True,4.3,1188,712,0.956,0.473,0.789,0.74,0.962,0.451,1.41,3.25,0.0056,0.0198,0.876,34.3,
c18_s17_origin_w1600_q92_m7_normal,17,origin,1600,92,False,7,normal,False,9.7,476,290,0.279,0.487,0.8,0.845,0.461,0.556,1.13,5.92,0.0043,0.0416,0.804,342.2,
c19_s17_origin_w1600_q92_m5_dense_loops,17,origin,1600,92,False,5,dense,True,6.9,1836,470,0.959,0.235,0.919,0.854,0.092,0.241,2.25,4.92,0.0089,0.0273,1.189,334.8,
c20_s17_origin_w1200_q78_m7_normal,17,origin,1200,78,False,7,normal,False,7.3,476,368,0.38,0.574,0.742,0.799,0.563,0.591,1.16,5.05,0.0034,0.023,0.66,195.8,
c21_s17_origin_w1200_q78_m5_dense_loops,17,origin,1200,78,False,5,dense,True,5.2,1836,879,0.922,0.309,0.646,0.692,0.153,0.323,1.68,4.15,0.0071,0.0187,1.085,276.7,
c22_s17_origin_w1000_q70x2_m7_normal,17,origin,1000,70,True,7,normal,False,6.1,476,439,0.475,0.662,0.718,0.511,0.652,0.673,1.44,3.91,0.0052,0.0184,0.78,157.8,
c23_s17_origin_w1000_q70x2_m5_dense_loops,17,origin,1000,70,True,5,dense,True,4.3,1836,1148,0.948,0.44,0.704,0.585,0.823,0.419,1.44,3.24,0.0047,0.0127,0.931,188.3,
